603885.SS,吉祥航空,上海
603108.SS,润达医疗,上海
300462.SZ,ST华铭,上海
603918.SS,金桥信息,上海
300493.SZ,润欣科技,上海
300501.SZ,海顺新材,上海
300508.SZ,维宏股份,上海
300511.SZ,雪榕生物,上海
603868.SS,飞科电器,上海
603131.SS,上海沪工,上海
603159.SS,上海亚虹,上海
601595.SS,上海电影,上海
603515.SS,欧普照明,上海
603987.SS,康德莱,上海
603777.SS,来伊份,上海
603887.SS,城地香江,上海
603189.SS,网达软件,上海
603633.SS,徕木股份,上海
002825.SZ,纳尔股份,上海
300551.SZ,古鳌科技,上海
601229.SS,上海银行,上海
603037.SS,凯众股份,上海
603886.SS,元祖股份,上海
603579.SS,荣泰健康,上海
300590.SZ,移为通信,上海
603039.SS,泛微网络,上海
603690.SS,至纯科技,上海
603881.SS,数据港,上海
603960.SS,克来机电,上海
601200.SS,上海环境,上海
600882.SS,妙可蓝多,上海
603330.SS,天洋新材,上海
300578.SZ,会畅科技,上海
300609.SZ,汇纳科技,上海
300613.SZ,富瀚微,上海
300627.SZ,华测导航,上海
002858.SZ,力盛体育,上海
300892.SZ,品渥食品,上海
605050.SS,福然德,上海
688062.SS,迈威生物-U,上海
688220.SS,翱捷科技-U,上海
603580.SS,*ST艾艾,上海
603232.SS,格尔软件,上海
688505.SS,复旦张江,上海
300642.SZ,透景生命,上海
603501.SS,豪威集团,上海
688179.SS,阿拉丁,上海
688129.SS,东来技术,上海
603329.SS,上海雅仕,上海
603200.SS,上海洗霸,上海
603619.SS,中曼石油,上海
603214.SS,爱婴室,上海
603648.SS,畅联股份,上海
603728.SS,鸣志电器,上海
603587.SS,地素时尚,上海
603196.SS,日播时尚,上海
603197.SS,保隆科技,上海
603496.SS,恒为科技,上海
603226.SS,菲林格尔,上海
603855.SS,华荣股份,上海
603730.SS,岱美股份,上海
603659.SS,璞泰来,上海
603466.SS,风语筑,上海
603683.SS,晶华新材,上海
603378.SS,亚士创能,上海
603499.SS,翔港科技,上海
601828.SS,美凯龙,上海
603895.SS,天永智能,上海
603056.SS,德邦股份,上海
603083.SS,剑桥科技,上海
603365.SS,水星家纺,上海
603650.SS,彤程新材,上海
601611.SS,中国核建,上海
603713.SS,密尔克卫,上海
603192.SS,汇得科技,上海
603790.SS,雅运股份,上海
603121.SS,华培动力,上海
300762.SZ,上海瀚讯,上海
603956.SS,威派格,上海
603681.SS,永冠新材,上海
603068.SS,博通集成,上海
603256.SS,宏和科技,上海
603786.SS,科博达,上海
688099.SS,晶晨股份,上海
688188.SS,柏楚电子,上海
002211.SZ,ST宏达,上海
688008.SS,澜起科技,上海
688012.SS,中微公司,上海
688018.SS,乐鑫科技,上海
688019.SS,安集科技,上海
688016.SS,心脉医疗,上海
603236.SS,移远通信,上海
688098.SS,申联生物,上海
688366.SS,昊海生科,上海
688368.SS,晶丰明源,上海
688202.SS,美迪西,上海
300802.SZ,矩子科技,上海
688158.SS,优刻得-W,上海
688123.SS,聚辰股份,上海
688118.SS,普元信息,上海
601696.SS,中银证券,上海
603682.SS,锦和商管,上海
688126.SS,沪硅产业,上海
688085.SS,三友医疗,上海
688336.SS,三生国健,上海
605222.SS,起帆电缆,上海
688065.SS,凯赛生物,上海
688155.SS,先惠技术,上海
688335.SS,复洁科技,上海
688519.SS,南亚新材,上海
688521.SS,芯原股份,上海
688596.SS,正帆科技,上海
605128.SS,上海沿浦,上海
601702.SS,华峰铝业,上海
603565.SS,中谷物流,上海
688301.SS,奕瑞科技,上海
605136.SS,丽人丽妆,上海
688585.SS,上纬新材,上海
688330.SS,宏力达,上海
300230.SZ,永利股份,上海
300999.SZ,金龙鱼,上海
300899.SZ,*ST凯鑫,上海
605338.SS,巴比食品,上海
688133.SS,泰坦科技,上海
688160.SS,步科股份,上海
688578.SS,艾力斯,上海
300915.SZ,海融科技,上海
688590.SS,新致软件,上海
688608.SS,恒玄科技,上海
605151.SS,西上海,上海
688063.SS,派能科技,上海
605186.SS,健麾信息,上海
605398.SS,新炬网络,上海
688317.SS,之江生物,上海
688680.SS,海优新材,上海
605081.SS,*ST太和,上海
300947.SZ,德必集团,上海
605208.SS,永茂泰,上海
300963.SZ,中洲特材,上海
605289.SS,罗曼股份,上海
603324.SS,盛剑科技,上海
605098.SS,行动教育,上海
688682.SS,霍莱沃,上海
300983.SZ,尤安设计,上海
688217.SS,睿昂基因,上海
605339.SS,南侨食品,上海
688660.SS,电气风电,上海
688538.SS,和辉光电-U,上海
688131.SS,皓元医药,上海
